reviewId,userName,content,score,thumbsUpCount,appName,language
2af5b27a-8f1a-414f-b460-6f5869ea6001,Nura Siddika,This app is the superintendent of India.but I have some other channel attached to the app.such as BTV. Star Jalsha.,5,0,toffee,bn
fd592ed3-6ddf-4a5f-b0af-bae27ca901de,Abu Raihan,This is a very good live TV app.,5,26,toffee,bn
73a20207-84cd-49b3-8cc4-c74c54cf867c,MD Monir Hussain,"""""""What apps have you made up to 23 episodes and I've uploaded the video to my phone for 2 months despite having 4G fulls and Wi-Fi load? Seljuk video shows up to 234 episodes on one pone app and show up to 19 September on me. I have released the video on 2nd August. Andres's a penning 4G page and we have shown that it's over and over.""""""",1,8,toffee,bn
da83e6d5-e04d-481d-9d6b-799e0deb4d62,Md Yeasin Arafat (Arafat),"We can't play football matches like Braze, Agentina or Partugal. Laure class app is very bad in Bengal, no one can use it.",1,0,toffee,bn
aa180034-1c19-4b62-bb1c-235bf201f9f3,Tanvir Ahmed,The app is not correct.I've free. i.e.,1,0,toffee,bn
fa6725e2-fcc6-49c9-b10f-f5bae6ba6277,Shahajul Islam,Fuck. Can't play channel. It's pace time to time.,1,0,toffee,bn
b455f1ad-02ff-4290-abef-b7a7cf88c23a,shabib h,"The network is no longer working on the tiffs 40 kbps, 3-4 second video is going to be loaded,.:thumbs_down:",1,0,toffee,bn
8e6df819-2a70-4122-9939-fc1a897fdb70,Md. Nazim,You guys are good for dubbing Osman.,5,2,toffee,bn
2ee1b1be-d99c-4821-8380-d9c6b1fa393d,Zihan Nur Abid,"The best app I have ever done is to beat, really. In Bengal, plum apps like plumage, plumb, plumbers, headaches.",1,0,toffee,bn
792ab0f7-a205-4bd9-bc82-fed0303f8f76,Blackman 1995,"VERY GOOD (Very good), But some has joined the channel to add, Tanks",5,1,toffee,bn
b2e815d2-eeae-4922-98d7-7f7265c1b4c3,Science Tech,"Or a app, nothing workperly, its a kick app. Pj d'o no ilk et.",1,7,toffee,bn
b8301c31-75c0-445a-80ce-f6951c55eee6,Md Mohiuddin,A lot of good software is good news for live TV,5,2,toffee,bn
e4539f72-1c8e-412a-85b4-916af69994cb,A Google user,"Goodle. add it channel (ex.star galsha, discovery, pogo, distant, Nick, colleur bangla",5,0,toffee,bn
527e71f1-7a5d-4ff0-a281-38e92061c3e1,jihan gaming,"I'd like to say this star is not her, i will give you the star channels soon: all right_smiling_face: so the other star value attack to this app apopulary im style to its 5 melon brother Taratari star channel, because Besirve tv apps a star channel",3,0,toffee,bn
1690af1c-8e50-4277-bcdf-ee3b7ce40708,Jahid Hasan,It would have been better if an Apte Superver is cool.,5,0,toffee,bn
124411e7-05df-41e3-9518-ac3f98c9cd27,Adnan Mukit Arif,My Channel name 'Islamic life'. Umm has been released on me channel at a mechanizing dam linking you.,3,0,toffee,bn
f6605c29-5ed2-4016-b707-7f9769817442,MD Eyakafi Eyakafi,Video no.pendig.pal help me.com would have been good if the entree10 bangla tv chel on top.,5,0,toffee,bn
5eef6ed9-25b8-4329-98db-ac06d277a322,Md Mustakim Alif,"""""""Yes,"""" said T4E - Morecom TV! 1.Android TV segment 2.no Subusmme Quality 4.Huge Channel List 5.5.Hegge will not be able to provide any support fee in the future if needed, but if required, please do it before running the channel and don't let the channel go to the channel's collection, Dysnepchanel, Duranta Kids, STARs HD, Star Jolshad etc...""""""",4,7,toffee,bn
7cda1a32-eaf8-48aa-b208-59e03749277c,A Google user,These apps are very good.:: www.rapped_gift:::bangladesh:. helpful app for home.valthaco Bangladesh,5,0,toffee,bn
e03b257d-cbd7-4b9c-935c-2f5406ee5ffd,Munna,"Too much sluow,,",1,0,toffee,bn
035a4d1b-e8be-4135-8adf-2bb890452214,A Google user,Tanks to make such an app.,5,0,toffee,bn
6ac41421-e855-4e01-b253-712ce776ff79,Md Shamim,"Pelasse add a number of characters. e.g. Jalsa movies, star jalsa etc.",5,0,toffee,bn
773ceb5f-e019-4b72-a58e-a7c349cfd2d6,Nahid Hasan,Best App from B.t It is an over-net PB of our country at the end of the day,5,0,toffee,bn
d53072df-9425-4b71-b8a1-d18a3a39c2df,Md Kamrul Islam,"Why don't you have water currents, Star Jalsha, Star Plus?",5,0,toffee,bn
b3b2aa40-f64a-4b70-9dc1-b340c06bc0db,Nazira Begum,very good App Love It,5,0,toffee,bn
3b623600-7464-4868-b1fc-21acdc6c6152,Md Roky Sikder,Discovere & Natoinal geography - would have added the Bangala language channel,4,0,toffee,bn
9805e0b1-8c6c-41bf-a203-772018bde8b0,Ashik akunjee,"All the channels of Bein Report. And if you get gtv+ Tsports, your app will be moust..",4,1,toffee,bn
c1dce581-e024-4ee9-9fea-aed6458e401d,tanvir ahmed,TX6 android tv are not in the box. Previously I have seen the original version of the app.,1,0,toffee,bn
a3763078-7936-4d16-9ade-4842aefd9927,tareq islam,Veai...baga...batre 1:00 tyr ulque dikhi...bole unable to connact server..,1,0,toffee,bn
e9755ad5-3ad8-4631-9b8b-f6784cbb0401,Jamal Hossain,"What will I do with this app if Wi-Fi is not supported? = === equal to== equals== if==sillion== centr banglad, I think you'd'dn'drband what I'd like. Nvemind, conks for your resonance.",1,1,toffee,bn
2e46b0a4-09e4-402f-904e-983e322cdaf1,Md Mojammel,Don't have a good TV channel in Bengal and Qids show,1,0,toffee,bn
2fc259f2-35c2-4e9b-85f4-42eb7a6b9077,Ab Group,Star Jalsa Nagar Bangla Tent10 Bangla Star Moves,5,0,toffee,bn
f9ba6ae9-b4ee-4979-a3e9-205677effd90,Best video,"Collus tv add tj, Nick tve, diney cartoon tov add ^..",4,0,toffee,bn
cde597d6-a7e4-4afc-8fa0-50e34479cbe0,Tha Real Income Sites,"""""""Teone app is a GTV minising and volt-tracking coaching GTV.""""""",5,0,toffee,bn
35fb9b65-4067-42d4-ac07-9117070b3c9d,A Google user,"Your apps are good, GTV ports addn",4,0,toffee,bn
ca64d43d-07f8-4c69-9105-a28d40f7467c,A Google user,I'm asking you to increase the pressure.,5,0,toffee,bn
aeb924a8-220a-420c-9591-c42ad404ea60,Rafi Gaming,"C.N., Discovery, National Geography, Animal Planet Channels,",2,0,toffee,bn
588dbb00-f7a9-4066-9e4b-30d3e79ea545,all play news,Nice app. STAR Jalsha Koi Btv Gtv,5,0,toffee,bn
3c43352f-d144-44f6-a8de-a250c6e86520,Ripon Ahamed,Add the Bharatiya Janata Party (Bangla) and National Geographical Bangla Chan.,4,0,toffee,bn
c1ed4cdb-c905-4dcf-b802-0cc4b9f7f8dc,Shiblu Ahmed,"When will Sports, Star Sports",5,0,toffee,bn
1c5a4faa-5016-40f8-a48e-5880c3bdb510,ꪑr ꪑꪮꫝꪮꪀ,"Brother, UTV ACTON Channel,",5,1,toffee,bn
825c8c95-bfbd-4619-862c-a7a5c670c711,Anik Ahmed,"Add G Tv, B TV, T Sports and Nagarik Chunk.",4,0,toffee,bn
